Object,Position X,Position Y,Position Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Time Stamp
RE,0.3806171,0.9828004,-0.27488,0.1722164,0.8811026,0.02740852,0.4396003,1.582737
RE,0.3806171,0.9828004,-0.27488,0.1722164,0.8811026,0.02740852,0.4396003,1.582737
RE,0.3810612,0.9824605,-0.2754684,0.1720448,0.8807559,0.02699659,0.4403871,1.593847
RE,0.3810612,0.9824605,-0.2754684,0.1720448,0.8807559,0.02699659,0.4403871,1.593847
RE,0.3814136,0.982281,-0.2759727,0.1718261,0.8805166,0.02660517,0.4409745,1.604994
RE,0.3814136,0.982281,-0.2759727,0.1718261,0.8805166,0.02660517,0.4409745,1.604994
RE,0.3818231,0.9820346,-0.2764894,0.1718434,0.8802955,0.02634712,0.4414246,1.616096
RE,0.3818231,0.9820346,-0.2764894,0.1718434,0.8802955,0.02634712,0.4414246,1.616096
RE,0.3822263,0.9817586,-0.2768825,0.1719135,0.8801183,0.02609537,0.4417655,1.627219
RE,0.3822263,0.9817586,-0.2768825,0.1719135,0.8801183,0.02609537,0.4417655,1.627219
RE,0.3826011,0.9815848,-0.2773102,0.1720178,0.8800402,0.02584952,0.4418949,1.638466
RE,0.3826011,0.9815848,-0.2773102,0.1720178,0.8800402,0.02584952,0.4418949,1.638466
RE,0.3831426,0.9817725,-0.2779719,0.1719493,0.8796796,0.02636012,0.4426086,1.649391
RE,0.3831426,0.9817725,-0.2779719,0.1719493,0.8796796,0.02636012,0.4426086,1.649391
RE,0.3834974,0.9814798,-0.278266,0.1719606,0.8795282,0.02625647,0.4429113,1.660582
RE,0.3834974,0.9814798,-0.278266,0.1719606,0.8795282,0.02625647,0.4429113,1.660582
RE,0.3840412,0.9811376,-0.2787393,0.1719659,0.879124,0.02667704,0.4436857,1.6716
RE,0.3840412,0.9811376,-0.2787393,0.1719659,0.879124,0.02667704,0.4436857,1.6716
RE,0.3843056,0.9807941,-0.2788814,0.1721754,0.8787279,0.0266614,0.4443896,1.68274
RE,0.3843056,0.9807941,-0.2788814,0.1721754,0.8787279,0.0266614,0.4443896,1.68274
RE,0.3849034,0.9805803,-0.2789659,0.1727023,0.8782026,0.02664854,0.4452236,1.693854
RE,0.3849034,0.9805803,-0.2789659,0.1727023,0.8782026,0.02664854,0.4452236,1.693854
RE,0.3850505,0.9801908,-0.2790745,0.1731401,0.877951,0.02652973,0.4455567,1.704963
RE,0.3850505,0.9801908,-0.2790745,0.1731401,0.877951,0.02652973,0.4455567,1.704963
RE,0.3848588,0.979808,-0.2789487,0.1738199,0.8774859,0.02715317,0.4461703,1.716087
RE,0.3848588,0.979808,-0.2789487,0.1738199,0.8774859,0.02715317,0.4461703,1.716087
RE,0.3851267,0.979331,-0.279139,0.1746442,0.8769407,0.02771426,0.4468852,1.727157
RE,0.3851267,0.979331,-0.279139,0.1746442,0.8769407,0.02771426,0.4468852,1.727157
RE,0.3852309,0.9789761,-0.2793244,0.1754635,0.8767089,0.02791276,0.4470068,1.738274
RE,0.3852309,0.9789761,-0.2793244,0.1754635,0.8767089,0.02791276,0.4470068,1.738274
RE,0.3850317,0.9785446,-0.2794911,0.1766499,0.8764374,0.02800895,0.4470659,1.749389
RE,0.3850317,0.9785446,-0.2794911,0.1766499,0.8764374,0.02800895,0.4470659,1.749389
RE,0.3849517,0.9781624,-0.2797019,0.1774525,0.8762802,0.0281345,0.4470483,1.760475
RE,0.3849517,0.9781624,-0.2797019,0.1774525,0.8762802,0.0281345,0.4470483,1.760475
RE,0.3848268,0.9777485,-0.2797468,0.1782499,0.8760905,0.02846752,0.4470817,1.77159
RE,0.3848268,0.9777485,-0.2797468,0.1782499,0.8760905,0.02846752,0.4470817,1.77159
RE,0.3846586,0.9772961,-0.2799311,0.1793364,0.8760187,0.02841644,0.4467911,1.782704
RE,0.3846586,0.9772961,-0.2799311,0.1793364,0.8760187,0.02841644,0.4467911,1.782704
RE,0.3846971,0.9765546,-0.2801246,0.1806791,0.8758247,0.02850362,0.4466248,1.793812
RE,0.3846971,0.9765546,-0.2801246,0.1806791,0.8758247,0.02850362,0.4466248,1.793812
RE,0.3845953,0.9761847,-0.2802677,0.1816986,0.8757662,0.02838575,0.4463334,1.804953
RE,0.3845953,0.9761847,-0.2802677,0.1816986,0.8757662,0.02838575,0.4463334,1.804953
RE,0.3844939,0.9755739,-0.2803649,0.1827846,0.8757653,0.02806715,0.4459117,1.816063
RE,0.3844939,0.9755739,-0.2803649,0.1827846,0.8757653,0.02806715,0.4459117,1.816063
RE,0.3842798,0.974667,-0.2798738,0.18377,0.8756177,0.02770109,0.4458194,1.827069
RE,0.3842798,0.974667,-0.2798738,0.18377,0.8756177,0.02770109,0.4458194,1.827069
RE,0.3842096,0.9738672,-0.279715,0.1848599,0.8753892,0.02644563,0.4458937,1.83821
RE,0.3842096,0.9738672,-0.279715,0.1848599,0.8753892,0.02644563,0.4458937,1.83821
RE,0.3842684,0.9733672,-0.2800334,0.1859935,0.8748679,0.0255824,0.4464954,1.849376
RE,0.3842684,0.9733672,-0.2800334,0.1859935,0.8748679,0.0255824,0.4464954,1.849376
RE,0.384122,0.9725952,-0.2798983,0.1869645,0.8744315,0.0245249,0.4470039,1.86051
RE,0.384122,0.9725952,-0.2798983,0.1869645,0.8744315,0.0245249,0.4470039,1.86051
RE,0.3836286,0.9715701,-0.279528,0.1879632,0.8741075,0.02396001,0.4472493,1.871523
RE,0.3836286,0.9715701,-0.279528,0.1879632,0.8741075,0.02396001,0.4472493,1.871523
RE,0.383231,0.9707663,-0.2794996,0.1891458,0.8740181,0.02314738,0.446968,1.882667
RE,0.383231,0.9707663,-0.2794996,0.1891458,0.8740181,0.02314738,0.446968,1.882667
RE,0.3826348,0.9698365,-0.2793739,0.1904384,0.8739556,0.02210585,0.4465939,1.893747
RE,0.3826348,0.9698365,-0.2793739,0.1904384,0.8739556,0.02210585,0.4465939,1.893747
RE,0.3820578,0.9688673,-0.2795691,0.1922324,0.8738935,0.02026772,0.4460338,1.904876
RE,0.3820578,0.9688673,-0.2795691,0.1922324,0.8738935,0.02026772,0.4460338,1.904876
RE,0.3813946,0.9679343,-0.2797781,0.1945074,0.8738955,0.01776574,0.4451494,1.915963
RE,0.3813946,0.9679343,-0.2797781,0.1945074,0.8738955,0.01776574,0.4451494,1.915963
RE,0.3809377,0.9669781,-0.280359,0.1971489,0.8737489,0.01552454,0.4443582,1.927062
RE,0.3809377,0.9669781,-0.280359,0.1971489,0.8737489,0.01552454,0.4443582,1.927062
RE,0.3801558,0.9657844,-0.2808284,0.1995334,0.8738505,0.01302554,0.4431728,1.938159
